TAHUN 2016,,,,,
Sen,Sel,Rab,Kam,Jum,Sab
2989,213,7110,5967,4713,2192
8352,4800,1306,2823,9101,3648
4210,8691,5007,6484,3170,6432
8043,7781,1507,5879,6829,410
6934,4856,1697,3039,1101,3864
7990,6537,2539,913,827,6809
4281,8929,8048,425,1752,7297
3309,4975,6045,7613,72,6249
8963,652,8160,5474,6109,4485
5021,3963,7306,7082,8743,824
1770,4605,616,5063,317,4156
1964,9587,9338,8312,3810,2078
1180,3272,7056,5860,4525,1344
2914,370,4113,2684,9577,5271
7191,5925,9805,9139,431,2897
1084,9301,4946,8022,4238,362
5880,8295,8784,908,1525,4915
3101,4562,2276,5787,1870,4098
3506,6074,2988,9370,5346,9236
7129,3287,7708,1628,181,7164
5343,7821,9508,2740,1765,5015
3047,1479,5673,3492,1378,7629
3126,2755,2201,1369,6861,9173
9459,3247,5819,4383,2701,8367
6856,1539,4278,9634,994,2719
1086,7601,8428,9178,3171,4048
2522,1834,8794,3582,7198,5129
494,3965,5519,9546,2682,8579
3202,4659,1055,8643,406,6945
8308,9294,3794,329,5346,8757
2162,6411,8605,1474,6751,2805
9038,163,5521,9314,7213,1282
8459,2067,3117,7386,9743,2869
4595,1246,125,8487,3781,6213
115,7925,4169,2693,8727,4635
6071,9437,7962,8126,1914,7687
5112,8391,783,4634,6804,1355
2181,2419,5963,9602,8335,941
4165,9286,2087,1848,8803,9435
7073,1145,5651,973,3702,3291
7819,1622,9569,8153,6043,8902
837,4893,9620,3196,4207,7863
TAHUN 2017,,,,,
Sen,Sel,Rab,Kam,Jum,Sab
511,8025,7208,3069,6576,9232
5725,734,3771,7560,3406,748
6951,3546,7587,1705,5069,3681
4278,656,7136,8684,9760,2938
7511,487,6307,4502,8920,1885
7003,2825,6715,5261,9113,3269
3831,7319,5095,2189,4282,1197
532,1361,9658,2526,757,5913
6645,9234,8404,3720,2621,742
7588,8042,6949,719,9285,8807
386,4911,3604,9534,2540,9439
8003,5786,1085,2462,6991,8245
7668,8494,533,9082,2739,692
7875,9838,6704,1164,5183,3120
985,2061,3414,6108,7112,3574
6621,603,9080,4912,5939,1843
7492,8132,2087,3489,6978,3039
6596,729,4013,1167,8670,4719
582,3494,7239,4075,6206,5487
2813,5201,1931,6843,9107,1622
3740,4613,7545,2507,8997,3749
4081,7043,9366,3072,1855,3212
1560,6382,8926,1650,8470,7498
2940,456,3768,4246,6373,2452
1648,2177,8908,9052,3412,51
6130,1716,1378,8603,9504,5814
9423,4568,1783,524,8098,6167
7301,2732,8746,9602,5080,8472
4853,287,5127,4815,9782,3191
3649,8539,423,5048,7964,8332
9412,7204,6787,8075,1566,4201
5946,9302,4027,6593,7935,964
3608,8498,1266,7135,152,2391
5446,1951,8505,4702,3495,7296
969,7645,8177,9139,8892,5937
6370,2439,8971,1647,405,4651
6188,9058,3570,8095,4366,7185
769,4101,9822,6270,3240,7823
7938,6814,9015,2734,5343,1699
3103,9076,3501,7959,1669,643
7807,3762,9126,6703,1388,4121
7682,2354,5567,1483,9043,3306
976,815,2610,5267,1944,8151
9658,8476,9076,2982,8806,5204
807,2048,3143,5291,9581,4192
7445,9183,7617,4822,886,2895
1228,8479,49,9417,7278,8756
9404,5091,4043,2146,3828,8104
9755,6214,9929,2362,8667,9096
5195,1536,4565,1381,6601,4315
5749,7321,988,3584,8929,2008
9981,8042,878,1915,249,1438
2672,5833,8708,4821,112,2173
TAHUN 2018,,,,,
Sen,Sel,Rab,Kam,Jum,Sab
5020,4757,6115,3691,8200,9159
681,2028,1938,7320,5579,3610
4201,5650,608,8476,9156,7087
4517,7862,3880,7454,8616,4528
9075,8511,1363,2803,7936,2047
713,1684,5530,3217,3975,7068
9016,2728,5403,6339,4945,2982
8871,456,6090,9768,3617,1074
2452,5700,9157,2853,501,1824
6285,4183,1057,6376,6045,3170
21,1747,8750,601,5513,3560
3605,2167,8334,6420,9028,574
1093,775,2388,4197,8617,5693
466,9315,8219,3428,3058,490
9953,4389,149,7876,2994,7453
6700,2177,3610,265,9368,8312
6658,3105,5485,8698,6312,1169
5997,2715,1094,4071,2656,4724
3707,6094,180,9459,292,7608
3309,5256,8736,2035,1351,3060
4479,1609,7656,7317,9308,1229
5705,7063,3463,9573,1105,9589
8550,7378,2638,1344,2207,4035
7126,2309,8669,794,4019,1471
221,6795,6607,9523,8179,2551
4688,1248,767,4356,8773,5716
9121,4169,9983,2414,7841,8238
8475,9237,2066,7419,9059,1597
7803,3251,3098,1583,4580,2756
6175,4896,8421,7620,7448,8780
5290,7459,1369,3141,8896,2319
5091,4034,1920,8329,157,4297
6047,785,1900,7961,1120,3644
6081,4692,394,4448,7591,8062
9816,8179,4996,2180,242,5054
2578,7145,6075,4519,3416,7401
1281,5361,3802,5467,7039,678
2709,6112,5890,8730,8847,2945
1043,5683,1792,7590,4029,7282
844,3924,5145,3852,5619,8426
5982,6498,7742,9426,3979,5468
9500,4870,7132,2351,8813,7634
9583,7652,354,653,5733,6235
15,5511,3103,3173,8469,4757
9345,5189,6823,6351,1475,9165
7761,130,4569,656,6769,1428
9576,7754,5930,8903,1131,2920
1534,4367,388,1932,2013,7890
7960,8355,5503,8202,6887,1168
8154,7471,4588,3652,3580,9022
4933,6688,7308,6108,6392,3201
8693,3831,3695,6119,1968,1301
TAHUN 2019,,,,,
Sen,Sel,Rab,Kam,Jum,Sab
3270,6405,9735,5906,9562,5248
2679,7112,5369,4816,3433,3899
4268,1606,5885,2065,2593,7037
1210,81,575,2611,6028,643
3130,6777,96,5303,2513,789
4822,5383,658,7740,871,1755
9797,9579,6808,6390,4967,3342
7319,139,113,2358,6667,3205
896,6981,1721,4937,4719,2747
7802,5877,3967,166,9664,2326
9953,5677,7319,5795,5416,6049
5062,1024,9103,3177,2020,8696
4067,731,5790,5139,6794,996
1693,3377,6231,4173,5429,7395
8477,1627,6066,1571,6224,5080
6855,5395,622,844,4266,7984
4927,2107,2989,6979,8509,2734
6883,3256,9024,2646,5026,6221
8523,5428,308,289,1528,4389
8666,4959,8604,5596,4340,7580
8585,3866,1163,4680,8261,2559
297,9134,8341,4436,9490,663
9266,6881,2741,9131,9145,634
5477,4884,1816,1060,9162,4476
6979,6928,8242,2942,7566,199
6233,6612,599,9514,9147,7521
5012,3515,4531,1655,3228,9778
67,5554,2308,855,445,2232
3032,6277,9688,6432,7438,44
2261,5086,6555,1585,8836,6
6684,209,4584,1645,5376,2316
1162,5675,9389,7499,3296,9479
2635,9876,3374,180,2597,9539
167,8378,157,7127,4567,3467
8779,2867,8902,3099,1726,2140
9069,1323,6188,3950,1471,151
3841,8288,635,6783,9961,431
7807,52,3028,4273,2925,3181
6167,3904,8948,4713,2447,4535
1853,1952,456,8276,8620,5446
9943,6813,6504,6720,2184,9423
3188,3347,1364,4307,8752,6361
2327,1474,7567,7103,6126,1399
2902,3412,2834,4309,2047,782
5833,6336,9005,1581,8595,9832
4595,949,176,507,6323,1295
3564,736,7394,493,5610,6046
6235,8200,9795,5079,8575,4615
9358,9357,3023,4435,3415,6719
9209,6598,19,3354,7539,260
1332,7164,1870,2463,6816,2646
3792,9193,678,2001,5270,5663
TAHUN 2020,,,,,
Sen,Sel,Rab,Kam,Jum,Sab
5684,9614,6472,6876,7094,4130
7701,5241,7946,7103,1564,8262
8601,6399,6341,2188,4629,2477
4290,9308,9328,6217,4113,6801
2840,6034,2654,8641,6820,7320
9640,5908,8084,7120,9180,4185
256,3014,7289,3432,3741,286
3765,7013,6625,3754,5679,7893
3399,4365,2521,1700,7478,2182
3815,3694,4009,6952,4069,4319
9550,3651,7826,1212,2398,3874
8406,3421,3336,1339,2382,1894
4289,2954,8822,6195,4272,4861
8691,2579,977,7553,1787,655
68,4828,4510,704,5633,8711
7988,9282,8007,1969,5979,2177
2343,8550,9736,6275,6263,7111
9010,6287,13,2051,1455,8038
8533,5352,2495,8732,4241,4239
8189,8287,9795,1707,171,5672
8534,680,3579,9330,9441,6344
7654,6775,1429,926,7291,9898
9805,7872,3736,1989,8557,1165
