TAHUN 2016,,,,,,
Sen,Sel,Rab,Kam,Jum,Sab,Min
2989,213,7110,5967,4713,2192,9032
8352,4800,1306,2823,9101,3648,4064
4210,8691,5007,6484,3170,6432,912
8043,7781,1507,5879,6829,410,9076
6934,4856,1697,3039,1101,3864,4143
7990,6537,2539,913,827,6809,2651
4281,8929,8048,425,1752,7297,9131
3309,4975,6045,7613,72,6249,5697
8963,652,8160,5474,6109,4485,3929
5021,3963,7306,7082,8743,824,7962
1770,4605,616,5063,317,4156,8571
1964,9587,9338,8312,3810,2078,4607
1180,3272,7056,5860,4525,1344,9064
2914,370,4113,2684,9577,5271,8138
7191,5925,9805,9139,431,2897,7464
1084,9301,4946,8022,4238,362,9313
5880,8295,8784,908,1525,4915,9675
3101,4562,2276,5787,1870,4098,7061
3506,6074,2988,9370,5346,9236,1992
7129,3287,7708,1628,181,7164,3248
5343,7821,9508,2740,1765,5015,4263
3047,1479,5673,3492,1378,7629,9434
3126,2755,2201,1369,6861,9173,7019
9459,3247,5819,4383,2701,8367,4831
6856,1539,4278,9634,994,2719,5077
1086,7601,8428,9178,3171,4048,6286
2522,1834,8794,3582,7198,5129,6117
494,3965,5519,9546,2682,8579,5628
3202,4659,1055,8643,406,6945,1175
8308,9294,3794,329,5346,8757,4508
2162,6411,8605,1474,6751,2805,3048
9038,163,5521,9314,7213,1282,4577
8459,2067,3117,7386,9743,2869,9806
4595,1246,125,8487,3781,6213,4837
115,7925,4169,2693,8727,4635,4406
6071,9437,7962,8126,1914,7687,6089
5112,8391,783,4634,6804,1355,9031
2181,2419,5963,9602,8335,941,5826
4165,9286,2087,1848,8803,9435,6185
7073,1145,5651,973,3702,3291,5017
7819,1622,9569,8153,6043,8902,5040
837,4893,9620,3196,4207,7863,8823
TAHUN 2017,,,,,,
Sen,Sel,Rab,Kam,Jum,Sab,Min
511,8025,7208,3069,6576,9232,4978
5725,734,3771,7560,3406,748,6311
6951,3546,7587,1705,5069,3681,1882
4278,656,7136,8684,9760,2938,2096
7511,487,6307,4502,8920,1885,3052
7003,2825,6715,5261,9113,3269,1577
3831,7319,5095,2189,4282,1197,7303
532,1361,9658,2526,757,5913,6792
6645,9234,8404,3720,2621,742,1097
7588,8042,6949,719,9285,8807,5178
386,4911,3604,9534,2540,9439,5926
8003,5786,1085,2462,6991,8245,4419
7668,8494,533,9082,2739,692,5190
7875,9838,6704,1164,5183,3120,8269
985,2061,3414,6108,7112,3574,7846
6621,603,9080,4912,5939,1843,2411
7492,8132,2087,3489,6978,3039,6673
6596,729,4013,1167,8670,4719,2960
582,3494,7239,4075,6206,5487,2642
2813,5201,1931,6843,9107,1622,8072
3740,4613,7545,2507,8997,3749,1182
4081,7043,9366,3072,1855,3212,7256
1560,6382,8926,1650,8470,7498,1097
2940,456,3768,4246,6373,2452,786
1648,2177,8908,9052,3412,51,1267
6130,1716,1378,8603,9504,5814,3042
9423,4568,1783,524,8098,6167,3806
7301,2732,8746,9602,5080,8472,6034
4853,287,5127,4815,9782,3191,2943
3649,8539,423,5048,7964,8332,3425
9412,7204,6787,8075,1566,4201,391
5946,9302,4027,6593,7935,964,2705
3608,8498,1266,7135,152,2391,6790
5446,1951,8505,4702,3495,7296,5534
969,7645,8177,9139,8892,5937,4907
6370,2439,8971,1647,405,4651,2717
6188,9058,3570,8095,4366,7185,6215
769,4101,9822,6270,3240,7823,474
7938,6814,9015,2734,5343,1699,7104
3103,9076,3501,7959,1669,643,5247
7807,3762,9126,6703,1388,4121,2351
7682,2354,5567,1483,9043,3306,4138
976,815,2610,5267,1944,8151,7391
9658,8476,9076,2982,8806,5204,5786
807,2048,3143,5291,9581,4192,9819
7445,9183,7617,4822,886,2895,3482
1228,8479,49,9417,7278,8756,1168
9404,5091,4043,2146,3828,8104,5394
9755,6214,9929,2362,8667,9096,1844
5195,1536,4565,1381,6601,4315,7061
5749,7321,988,3584,8929,2008,1403
9981,8042,878,1915,249,1438,9275
2672,5833,8708,4821,112,2173,8982
TAHUN 2018,,,,,,
Sen,Sel,Rab,Kam,Jum,Sab,Min
5020,4757,6115,3691,8200,9159,7445
681,2028,1938,7320,5579,3610,611
4201,5650,608,8476,9156,7087,9528
4517,7862,3880,7454,8616,4528,150
9075,8511,1363,2803,7936,2047,3768
713,1684,5530,3217,3975,7068,8223
9016,2728,5403,6339,4945,2982,713
8871,456,6090,9768,3617,1074,7821
2452,5700,9157,2853,501,1824,9835
6285,4183,1057,6376,6045,3170,3693
21,1747,8750,601,5513,3560,6846
3605,2167,8334,6420,9028,574,8194
1093,775,2388,4197,8617,5693,3771
466,9315,8219,3428,3058,490,7692
9953,4389,149,7876,2994,7453,8284
6700,2177,3610,265,9368,8312,1702
6658,3105,5485,8698,6312,1169,9764
5997,2715,1094,4071,2656,4724,9408
3707,6094,180,9459,292,7608,1270
3309,5256,8736,2035,1351,3060,4110
4479,1609,7656,7317,9308,1229,3010
5705,7063,3463,9573,1105,9589,9786
8550,7378,2638,1344,2207,4035,7323
7126,2309,8669,794,4019,1471,9453
221,6795,6607,9523,8179,2551,850
4688,1248,767,4356,8773,5716,6078
